date,plant-stand,precip,temp,hail,crop-hist,area-damaged,severity,seed-tmt,germination,plant-growth,leaves,leafspots-halo,leafspots-marg,leafspot-size,leaf-shread,leaf-malf,leaf-mild,stem,lodging,stem-cankers,canker-lesion,fruiting-bodies,external-decay,mycelium,int-discolor,sclerotia,fruit-pods,fruit-spots,seed,mold-growth,seed-discolor,seed-size,shriveling,roots,target
6.0,2.0,1.0,3.0,2.0,4.0,1.0,2.0,2.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,10
2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,1.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,10
3.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,1.0,3.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,10
3.0,2.0,1.0,3.0,2.0,4.0,2.0,3.0,2.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,10
6.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,10
7.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,3.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,10
7.0,2.0,1.0,3.0,2.0,3.0,2.0,2.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,10
2.0,2.0,1.0,3.0,1.0,4.0,2.0,2.0,2.0,3.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,10
6.0,2.0,1.0,3.0,2.0,2.0,2.0,2.0,1.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,10
2.0,2.0,1.0,3.0,2.0,3.0,2.0,3.0,2.0,3.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,3.0,1.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,10
6.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,7
2.0,2.0,2.0,3.0,1.0,4.0,4.0,2.0,1.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,7
3.0,2.0,2.0,3.0,2.0,4.0,3.0,2.0,2.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,7
6.0,2.0,2.0,3.0,1.0,2.0,4.0,2.0,1.0,1.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,7
6.0,2.0,2.0,1.0,2.0,4.0,4.0,2.0,1.0,0.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,7
7.0,2.0,2.0,1.0,1.0,2.0,4.0,2.0,1.0,3.0,1.0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,1.0,1.0,2.0,4.0,4.0,2.0,1.0,1.0,2.0,1.0,2.0,7
